time,healthy,sick,recovered,dead
4.885000,1,32,151,12
4.890000,1,32,151,12
4.895000,1,32,151,12
4.900000,1,30,153,12
4.905000,1,30,153,12
4.910000,1,26,157,12
4.915000,1,26,157,12
4.920000,1,25,158,12
4.925000,1,25,158,12
4.930000,1,24,159,12
4.935000,1,24,159,12
4.940000,1,24,159,12
4.945000,1,24,159,12
4.950000,1,24,159,12
4.955000,1,24,159,12
4.960000,1,24,159,12
4.965000,1,24,159,12
4.970000,1,24,159,12
4.975000,1,23,160,12
4.980000,1,23,160,12
4.985000,1,23,160,12
4.990000,1,23,160,12
4.995000,1,23,160,12
5.000000,1,23,160,12
5.005000,1,23,160,12
5.010000,1,23,160,12
5.015000,1,23,160,12
5.020000,1,23,160,12
5.025000,1,23,160,12
5.030000,1,23,160,12
5.035000,1,22,161,12
5.040000,1,22,161,12
5.045000,1,19,164,12
5.050000,1,19,164,12
5.055000,1,19,164,12
5.060000,1,18,165,12
5.065000,1,18,165,12
5.070000,1,18,165,12
5.075000,1,18,165,12
5.080000,1,18,165,12
5.085000,1,18,165,12
5.090000,1,18,165,12
5.095000,1,17,166,12
5.100000,1,16,167,12
5.105000,1,16,167,12
5.110000,1,16,167,12
5.115000,1,15,168,12
5.120000,1,14,169,12
5.125000,1,14,169,12
5.130000,1,14,169,12
5.135000,1,14,169,12
5.140000,1,14,169,12
5.145000,1,14,169,12
5.150000,1,14,169,12
5.155000,1,14,169,12
5.160000,1,14,169,12
5.165000,1,14,169,12
5.170000,1,14,169,12
5.175000,1,14,169,12
5.180000,1,14,169,12
5.185000,1,13,170,12
5.190000,1,13,170,12
5.195000,1,13,170,12
5.200000,1,13,170,12
5.205000,1,13,170,12
5.210000,1,13,170,12
5.215000,1,13,170,12
5.220000,1,13,170,12
5.225000,1,13,170,12
5.230000,1,12,171,12
5.235000,1,10,173,12
5.240000,1,10,173,12
5.245000,1,10,173,12
5.250000,1,9,174,12
